epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15780.6,0.26176,0.20997,0.87699,0.96986,0.99362,0.98105,0.9752,0.17497,6.58373,0.77797,0.005842,0.005842,0.005842
44,16144.2,0.26049,0.20487,0.87776,0.97072,0.99375,0.98064,0.97515,0.17405,6.82107,0.77628,0.005743,0.005743,0.005743
45,16511,0.25858,0.2055,0.87422,0.96879,0.99387,0.98018,0.9748,0.17226,7.28672,0.77567,0.005644,0.005644,0.005644
46,16874.7,0.25813,0.20554,0.87672,0.96962,0.99402,0.98067,0.97531,0.17238,6.66897,0.7757,0.005545,0.005545,0.005545
47,17241.4,0.25758,0.2036,0.87182,0.97027,0.994,0.98089,0.9757,0.17068,6.62321,0.77517,0.005446,0.005446,0.005446
48,17608.3,0.25325,0.2051,0.8751,0.97013,0.99412,0.98144,0.97659,0.16913,6.67693,0.77509,0.005347,0.005347,0.005347
49,17972.8,0.25153,0.20551,0.87886,0.96962,0.99421,0.981,0.97593,0.16915,6.92659,0.77529,0.005248,0.005248,0.005248
50,18339.6,0.24981,0.19889,0.87719,0.96996,0.99358,0.98104,0.97607,0.16783,6.45115,0.77567,0.005149,0.005149,0.005149
51,18706.8,0.24847,0.20083,0.87513,0.96986,0.99435,0.98151,0.97693,0.16682,6.82427,0.77413,0.00505,0.00505,0.00505
52,19072.5,0.24615,0.19808,0.87425,0.97056,0.99388,0.9811,0.97601,0.16649,6.78506,0.77421,0.004951,0.004951,0.004951
53,19439.2,0.2483,0.19896,0.87014,0.97019,0.994,0.9822,0.97741,0.1646,6.55187,0.77327,0.004852,0.004852,0.004852
54,19802.9,0.24673,0.19751,0.87109,0.97044,0.9938,0.9814,0.97657,0.16476,6.50247,0.77298,0.004753,0.004753,0.004753
55,20169.9,0.24561,0.19399,0.87164,0.9705,0.99362,0.98223,0.97756,0.16555,6.4102,0.77349,0.004654,0.004654,0.004654
56,20534.7,0.24217,0.19144,0.87168,0.97113,0.99362,0.98223,0.97744,0.16491,5.93419,0.77407,0.004555,0.004555,0.004555
57,20900.9,0.24388,0.19399,0.87151,0.97112,0.9935,0.9827,0.97792,0.16375,5.81552,0.77346,0.004456,0.004456,0.004456
58,21266.2,0.24144,0.18717,0.87188,0.97145,0.9935,0.98345,0.97892,0.16418,5.81242,0.77382,0.004357,0.004357,0.004357
59,21632.1,0.24094,0.18927,0.86954,0.97151,0.99374,0.98276,0.97792,0.16433,5.39248,0.77383,0.004258,0.004258,0.004258
60,21998.1,0.24032,0.18944,0.87109,0.97138,0.99337,0.98374,0.97894,0.16284,5.30586,0.77435,0.004159,0.004159,0.004159
61,22364.3,0.23666,0.19028,0.86996,0.97079,0.99337,0.98313,0.9784,0.16228,5.28493,0.77366,0.00406,0.00406,0.00406
62,22730.2,0.23711,0.18818,0.86962,0.97044,0.99376,0.98352,0.97892,0.16139,5.53052,0.77254,0.003961,0.003961,0.003961
63,23095.8,0.2334,0.18425,0.86368,0.97115,0.9937,0.98286,0.97826,0.16101,5.17639,0.7729,0.003862,0.003862,0.003862
64,23461.7,0.2347,0.18674,0.86864,0.97248,0.99262,0.98359,0.97893,0.16076,4.75616,0.77223,0.003763,0.003763,0.003763
65,23828.1,0.23297,0.18434,0.86807,0.97268,0.99301,0.98365,0.97888,0.15998,4.85589,0.77287,0.003664,0.003664,0.003664
66,24193.7,0.23204,0.18447,0.87059,0.97161,0.99329,0.98399,0.97965,0.15999,4.63942,0.77432,0.003565,0.003565,0.003565
67,24560.4,0.23193,0.18048,0.87128,0.97146,0.99375,0.98314,0.9789,0.15969,4.84072,0.77545,0.003466,0.003466,0.003466
68,24926.6,0.23015,0.18109,0.86743,0.97091,0.99381,0.98334,0.97886,0.1592,4.74249,0.77451,0.003367,0.003367,0.003367
69,25292.7,0.22884,0.17966,0.86712,0.97232,0.99306,0.98347,0.97911,0.15907,4.60391,0.77433,0.003268,0.003268,0.003268
70,25657.9,0.22897,0.18398,0.8682,0.97137,0.99412,0.98357,0.97925,0.15872,4.45282,0.77235,0.003169,0.003169,0.003169
71,26024.3,0.22503,0.17813,0.86391,0.97278,0.9925,0.98323,0.97862,0.15846,4.44279,0.7723,0.00307,0.00307,0.00307
