epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1251,1.04233,5.24536,1.09312,0,0,0,0,0.73313,5.21252,0.90946,2.338e-05,2.338e-05,2.338e-05
2,171.053,0.62544,4.98281,0.95501,0,0,0,0,0.41977,5.04906,0.81656,4.74711e-05,4.74711e-05,4.74711e-05
3,257.211,0.57793,4.78902,0.92304,0,0,0,0,0.41472,4.96227,0.80078,7.05702e-05,7.05702e-05,7.05702e-05
4,342.688,0.55787,4.52752,0.92782,0.01652,0.03643,0.01495,0.01419,0.35445,4.88724,0.79498,9.26773e-05,9.26773e-05,9.26773e-05
5,425.465,0.52817,4.41451,0.93396,0.01492,0.22738,0.02348,0.02202,0.36064,4.77714,0.78738,0.000113792,0.000113792,0.000113792
6,509.444,0.58066,4.28012,0.95261,0.01512,0.39886,0.04441,0.04141,0.39613,4.65592,0.80583,0.000133916,0.000133916,0.000133916
7,594.347,0.52962,4.102,0.9339,0.0123,0.55795,0.07439,0.07168,0.35845,4.41331,0.80877,0.00014716,0.00014716,0.00014716
8,684.549,0.49019,3.9881,0.91314,0.63651,0.12031,0.09528,0.08897,0.35556,4.22071,0.81367,0.000143854,0.000143854,0.000143854
9,771.475,0.51695,3.69741,0.93358,0.59716,0.17528,0.13503,0.12529,0.3565,4.15962,0.81586,0.000140547,0.000140547,0.000140547
10,858.882,0.47702,3.52677,0.91221,0.55644,0.18309,0.14665,0.13536,0.37899,4.06806,0.83703,0.000137241,0.000137241,0.000137241
11,946.121,0.48093,3.41379,0.91409,0.57593,0.22063,0.17392,0.16191,0.36757,3.95528,0.84091,0.000133934,0.000133934,0.000133934
12,1033.86,0.48509,3.44368,0.92673,0.48696,0.23103,0.16744,0.15759,0.35533,3.85132,0.84847,0.000130627,0.000130627,0.000130627
13,1115.79,0.45656,3.23851,0.91259,0.45426,0.22764,0.16586,0.15536,0.35223,3.8492,0.84485,0.000127321,0.000127321,0.000127321
14,1197.02,0.48556,3.32643,0.93043,0.41557,0.23985,0.1467,0.13782,0.35294,3.68688,0.84831,0.000124014,0.000124014,0.000124014
15,1285.17,0.52718,3.27306,0.96173,0.45122,0.28415,0.18952,0.17617,0.36148,3.64435,0.8477,0.000120708,0.000120708,0.000120708
16,1372.68,0.48928,3.1154,0.94375,0.55873,0.27433,0.2032,0.18905,0.35743,3.59685,0.84043,0.000117401,0.000117401,0.000117401
17,1461.95,0.47424,3.14026,0.92121,0.62539,0.27508,0.22771,0.21809,0.34406,3.55916,0.84174,0.000114094,0.000114094,0.000114094
18,1552.62,0.46727,3.04265,0.91315,0.49836,0.32008,0.22791,0.21816,0.34215,3.52987,0.83613,0.000110788,0.000110788,0.000110788
19,1637.5,0.4563,2.93354,0.92116,0.46587,0.34794,0.2119,0.20156,0.34503,3.55554,0.82929,0.000107481,0.000107481,0.000107481
20,1718.65,0.43218,2.94266,0.88233,0.38104,0.37411,0.20772,0.19902,0.33547,3.49998,0.82432,0.000104175,0.000104175,0.000104175
21,1799.22,0.41905,2.81069,0.89907,0.42793,0.33331,0.21715,0.20716,0.33116,3.47159,0.82304,0.000100868,0.000100868,0.000100868
22,1886.27,0.44588,2.84535,0.9193,0.39304,0.35444,0.22436,0.21185,0.33015,3.44715,0.82027,9.75614e-05,9.75614e-05,9.75614e-05
23,1972.78,0.40821,2.79161,0.87632,0.38082,0.38685,0.23514,0.22309,0.32919,3.44587,0.82127,9.42548e-05,9.42548e-05,9.42548e-05
24,2056.87,0.41108,2.75444,0.9163,0.4247,0.3986,0.24383,0.23425,0.32394,3.45896,0.81803,9.09482e-05,9.09482e-05,9.09482e-05
25,2142.67,0.41552,2.6758,0.88951,0.44054,0.32898,0.25707,0.24651,0.32248,3.42453,0.81718,8.76416e-05,8.76416e-05,8.76416e-05
26,2228.22,0.41688,2.6925,0.89896,0.40856,0.39783,0.27182,0.2623,0.32213,3.37363,0.82181,8.4335e-05,8.4335e-05,8.4335e-05
27,2313.75,0.42518,2.6703,0.92385,0.44787,0.42751,0.25724,0.24803,0.31397,3.38627,0.81652,8.10284e-05,8.10284e-05,8.10284e-05
28,2396.72,0.42039,2.65701,0.93703,0.44981,0.44727,0.2513,0.24015,0.31362,3.42462,0.81337,7.77218e-05,7.77218e-05,7.77218e-05
29,2477.45,0.39116,2.58423,0.88385,0.42378,0.43175,0.24812,0.23853,0.31581,3.40439,0.81301,7.44152e-05,7.44152e-05,7.44152e-05
30,2558.35,0.40304,2.52618,0.88419,0.38684,0.39291,0.25139,0.24196,0.31366,3.37366,0.81102,7.11086e-05,7.11086e-05,7.11086e-05
31,2639.79,0.44368,2.55413,0.90935,0.40103,0.41056,0.2438,0.23494,0.32465,3.33072,0.81178,6.7802e-05,6.7802e-05,6.7802e-05
32,2720.1,0.39318,2.52728,0.89092,0.37653,0.45461,0.23604,0.22851,0.3186,3.39701,0.81153,6.44954e-05,6.44954e-05,6.44954e-05
