epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,387.522,0.50294,0.78249,1.04053,0.95428,0.9947,0.95897,0.91793,0.30255,16.3552,0.82743,0.00333028,0.00333028,0.00333028
2,760.9,0.45014,0.40563,0.97016,0.95401,0.99462,0.9568,0.91602,0.31918,16.4997,0.848,0.00659765,0.00659765,0.00659765
3,1124.8,0.4751,0.39208,0.99263,0.95378,0.99376,0.95227,0.90722,0.33273,15.1715,0.84355,0.00979901,0.00979901,0.00979901
4,1493.39,0.46602,0.36251,0.99245,0.95268,0.99217,0.96202,0.92552,0.30698,14.3071,0.83318,0.009703,0.009703,0.009703
5,1862.48,0.42993,0.32806,0.9699,0.95414,0.99475,0.96485,0.93863,0.26566,14.8975,0.82134,0.009604,0.009604,0.009604
6,2236.93,0.40815,0.31431,0.96105,0.95403,0.9943,0.96806,0.94586,0.26447,14.4944,0.82364,0.009505,0.009505,0.009505
7,2604.79,0.39676,0.30544,0.9551,0.94273,0.97773,0.96274,0.93052,0.29111,14.0633,0.83564,0.009406,0.009406,0.009406
